state,year,rainfall_avg,le_state,le_year
ANDAMAN & NICOBAR ISLANDS,1901,3373.2,0,0
ANDAMAN & NICOBAR ISLANDS,1902,3520.7,0,1
ANDAMAN & NICOBAR ISLANDS,1903,2957.4,0,2
ANDAMAN & NICOBAR ISLANDS,1904,3079.6,0,3
ANDAMAN & NICOBAR ISLANDS,1905,2566.7,0,4
ANDAMAN & NICOBAR ISLANDS,1906,2534.4,0,5
ANDAMAN & NICOBAR ISLANDS,1907,3347.9,0,6
ANDAMAN & NICOBAR ISLANDS,1908,3576.4,0,7
ANDAMAN & NICOBAR ISLANDS,1910,2899.4,0,9
ANDAMAN & NICOBAR ISLANDS,1911,2687.2,0,10
ANDAMAN & NICOBAR ISLANDS,1912,2960.5,0,11
ANDAMAN & NICOBAR ISLANDS,1913,2365.8,0,12
ANDAMAN & NICOBAR ISLANDS,1914,2957.8,0,13
ANDAMAN & NICOBAR ISLANDS,1915,2741.3,0,14
ANDAMAN & NICOBAR ISLANDS,1916,2937.5,0,15
ANDAMAN & NICOBAR ISLANDS,1917,2612.4,0,16
ANDAMAN & NICOBAR ISLANDS,1918,3275.0,0,17
ANDAMAN & NICOBAR ISLANDS,1919,2352.1,0,18
ANDAMAN & NICOBAR ISLANDS,1920,2943.2,0,19
ANDAMAN & NICOBAR ISLANDS,1921,2606.4,0,20
ANDAMAN & NICOBAR ISLANDS,1922,3554.2,0,21
ANDAMAN & NICOBAR ISLANDS,1923,1411.0088997555017,0,22
ANDAMAN & NICOBAR ISLANDS,1924,1411.0088997555017,0,23
ANDAMAN & NICOBAR ISLANDS,1925,2480.5,0,24
ANDAMAN & NICOBAR ISLANDS,1926,3282.2,0,25
ANDAMAN & NICOBAR ISLANDS,1927,2442.9,0,26
ANDAMAN & NICOBAR ISLANDS,1928,2998.3,0,27
ANDAMAN & NICOBAR ISLANDS,1929,2926.6,0,28
ANDAMAN & NICOBAR ISLANDS,1930,3075.1,0,29
ANDAMAN & NICOBAR ISLANDS,1931,2357.7,0,30
ANDAMAN & NICOBAR ISLANDS,1932,1411.0088997555017,0,31
ANDAMAN & NICOBAR ISLANDS,1933,2987.5,0,32
ANDAMAN & NICOBAR ISLANDS,1934,3722.8,0,33
ANDAMAN & NICOBAR ISLANDS,1935,3154.0,0,34
ANDAMAN & NICOBAR ISLANDS,1936,1411.0088997555017,0,35
ANDAMAN & NICOBAR ISLANDS,1937,3591.1,0,36
ANDAMAN & NICOBAR ISLANDS,1938,3264.4,0,37
ANDAMAN & NICOBAR ISLANDS,1939,2782.5,0,38
ANDAMAN & NICOBAR ISLANDS,1940,3007.5,0,39
ANDAMAN & NICOBAR ISLANDS,1941,2898.2,0,40
ANDAMAN & NICOBAR ISLANDS,1942,1411.0088997555017,0,41
ANDAMAN & NICOBAR ISLANDS,1946,2791.6,0,45
ANDAMAN & NICOBAR ISLANDS,1947,1411.0088997555017,0,46
ANDAMAN & NICOBAR ISLANDS,1949,3489.6,0,48
ANDAMAN & NICOBAR ISLANDS,1950,2422.2,0,49
ANDAMAN & NICOBAR ISLANDS,1951,3275.1,0,50
ANDAMAN & NICOBAR ISLANDS,1952,3079.9,0,51
ANDAMAN & NICOBAR ISLANDS,1953,2721.9,0,52
ANDAMAN & NICOBAR ISLANDS,1954,3449.0,0,53
ANDAMAN & NICOBAR ISLANDS,1955,3349.6,0,54
ANDAMAN & NICOBAR ISLANDS,1956,3080.0,0,55
ANDAMAN & NICOBAR ISLANDS,1957,2507.2,0,56
ANDAMAN & NICOBAR ISLANDS,1958,2807.4,0,57
ANDAMAN & NICOBAR ISLANDS,1959,3343.3,0,58
ANDAMAN & NICOBAR ISLANDS,1960,3025.0,0,59
ANDAMAN & NICOBAR ISLANDS,1961,3938.2,0,60
ANDAMAN & NICOBAR ISLANDS,1962,2959.7,0,61
ANDAMAN & NICOBAR ISLANDS,1963,2981.7,0,62
ANDAMAN & NICOBAR ISLANDS,1964,3054.8,0,63
ANDAMAN & NICOBAR ISLANDS,1965,3163.8,0,64
ANDAMAN & NICOBAR ISLANDS,1966,2701.2,0,65
ANDAMAN & NICOBAR ISLANDS,1967,3216.4,0,66
ANDAMAN & NICOBAR ISLANDS,1968,2762.8,0,67
ANDAMAN & NICOBAR ISLANDS,1969,2619.0,0,68
ANDAMAN & NICOBAR ISLANDS,1970,3370.8,0,69
ANDAMAN & NICOBAR ISLANDS,1971,2998.6,0,70
ANDAMAN & NICOBAR ISLANDS,1972,3323.0,0,71
ANDAMAN & NICOBAR ISLANDS,1973,2991.1,0,72
ANDAMAN & NICOBAR ISLANDS,1974,2962.0,0,73
ANDAMAN & NICOBAR ISLANDS,1975,3085.7,0,74
ANDAMAN & NICOBAR ISLANDS,1976,3276.0,0,75
ANDAMAN & NICOBAR ISLANDS,1977,2388.2,0,76
ANDAMAN & NICOBAR ISLANDS,1978,2712.4,0,77
ANDAMAN & NICOBAR ISLANDS,1979,1849.4,0,78
ANDAMAN & NICOBAR ISLANDS,1980,3625.3,0,79
ANDAMAN & NICOBAR ISLANDS,1981,3074.8,0,80
ANDAMAN & NICOBAR ISLANDS,1982,2384.5,0,81
ANDAMAN & NICOBAR ISLANDS,1983,2792.4,0,82
ANDAMAN & NICOBAR ISLANDS,1984,2820.3,0,83
ANDAMAN & NICOBAR ISLANDS,1985,2630.8,0,84
ANDAMAN & NICOBAR ISLANDS,1986,2187.8,0,85
ANDAMAN & NICOBAR ISLANDS,1987,2764.0,0,86
ANDAMAN & NICOBAR ISLANDS,1988,3323.0,0,87
ANDAMAN & NICOBAR ISLANDS,1989,2533.6,0,88
ANDAMAN & NICOBAR ISLANDS,1990,2183.4,0,89
ANDAMAN & NICOBAR ISLANDS,1991,2535.8,0,90
ANDAMAN & NICOBAR ISLANDS,1992,2098.7,0,91
ANDAMAN & NICOBAR ISLANDS,1993,2237.4,0,92
ANDAMAN & NICOBAR ISLANDS,1994,3262.8,0,93
ANDAMAN & NICOBAR ISLANDS,1995,3115.4,0,94
ANDAMAN & NICOBAR ISLANDS,1996,2996.9,0,95
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,0,96
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,0,97
ANDAMAN & NICOBAR ISLANDS,1999,2699.7,0,98
ANDAMAN & NICOBAR ISLANDS,2000,2763.2,0,99
ANDAMAN & NICOBAR ISLANDS,2001,3080.9,0,100
ANDAMAN & NICOBAR ISLANDS,2002,2620.2,0,101
ANDAMAN & NICOBAR ISLANDS,2003,2355.9,0,102
ANDAMAN & NICOBAR ISLANDS,2004,2460.1,0,103
ANDAMAN & NICOBAR ISLANDS,2005,2954.7,0,104
ANDAMAN & NICOBAR ISLANDS,2006,2404.7,0,105
ANDAMAN & NICOBAR ISLANDS,2007,2748.0,0,106
ANDAMAN & NICOBAR ISLANDS,2008,3374.8,0,107
ANDAMAN & NICOBAR ISLANDS,2009,2538.6,0,108
ANDAMAN & NICOBAR ISLANDS,2010,3157.1,0,109
